MP,FGA,FG%,2P,3P,3PA,FT,FTA,ORB,STL,BLK,TOV,PTS,eFG%,TRB%,AST%,OWS,DWS,WS/40
20.1,5.2,0.617,3.2,0,0,1.5,3.4,1.9,0.2,1.3,1.6,7.9,0.617,11.93196481,15.44281525,1.6,2.8,0.249
36.5,12.2,0.46,4.2,1.4,4.2,4,5.1,0.6,1.5,0.2,3.1,16.6,0.516,4.1,26.8,5.9,2.7,0.129
30.3,12.2,0.466,4.5,1.2,2.9,2.4,3.2,2.2,1.7,0.5,2.5,15,0.515,11.93196481,15.44281525,3.3,4,0.182
32.1,13,0.412,3.3,2.1,5.5,2.6,4,1.4,1.1,0.6,2.3,15.4,0.492,7.8,16.4,3.8,4.6,0.121
24.6,6.8,0.586,4,0,0,1.9,3.2,2.2,0.2,2,1.6,9.9,0.586,11.93196481,15.44281525,3.8,4,0.203
22.2,7.8,0.491,3.7,0.2,0.4,3.5,4.5,1.842602041,0.5,0.9,1.5,11.4,0.501,11.93196481,15.44281525,7.9,7.5,0.168
32.6,9.8,0.543,5.2,0.1,0.5,3.7,5.5,2.1,1.5,1.5,2.9,14.5,0.55,15.5,20.7,6,4.5,0.198
31.5,17.5,0.532,8.2,1.1,2.9,6.5,8.5,4,1.3,1.6,2.9,26.2,0.563,21.3,9.3,5.4,5.4,0.413
30.8,13.3,0.426,4.4,1.3,4.1,4.1,6,2.3,0.9,0.8,3.1,16.7,0.473,8.9,12.2,3.9,6,0.153
23,8.5,0.547,3.7,1,2.6,2,2.8,1.842602041,1.1,0.8,1.3,12.3,0.603,11.93196481,15.44281525,9,5.8,0.199
27.2,7,0.472,3.2,0.1,0.4,1.6,2.5,2.5,0.8,2.8,1.5,8.4,0.481,13.4,10.9,3.7,7.1,0.154
31.2,13.6,0.464,4.4,1.9,4.8,3.1,3.7,1.7,1.9,0.6,2.5,17.6,0.535,10.4,15.1,11.1,7.5,0.189
28.7,11.3,0.413,3.9,0.8,2.8,4.3,6.1,2.5,0.6,0.3,2.4,14.4,0.448,14.1,13.3,1.8,2,0.109
26.6,9,0.56,4.9,0.2,0.7,3.1,5.1,1.842602041,1.3,2.6,2.5,13.4,0.569,11.93196481,15.44281525,4.1,5.1,0.275
30.1,8,0.42,2,1.3,3.5,4.9,5.9,0.5,1.1,0.3,1.8,13,0.504,6.7,18.9,8.4,3.9,0.19
31.4,10.4,0.497,5.1,0.1,0.3,4.2,6.1,1.842602041,0.4,2.8,2.4,14.6,0.501,11.93196481,15.44281525,6.3,9.3,0.251
33.1,17.1,0.472,6.4,1.7,5.2,6.5,8.1,1.1,2.3,0.3,3.5,24.4,0.52,8.9,30.7,7.2,1.1,0.17
30.5,12.1,0.466,4.1,1.5,4.2,3,4,0.8,1.9,0.2,2.7,15.8,0.53,11.93196481,15.44281525,5.4,4.3,0.183
28.6,10.2,0.438,3.3,1.2,3.6,2.2,2.8,1.9,0.9,1.1,1.7,12.3,0.497,13.4,12.8,3.9,7.2,0.182
26.7,9.2,0.483,3.3,1.2,3.5,3.1,4.4,1.842602041,1.2,0.3,2.2,13.3,0.547,11.93196481,15.44281525,5,3.4,0.194
31.7,9.4,0.422,2.3,1.6,4.3,1.5,2.1,0.4,1.1,0.2,2.4,11,0.508,6.3,33.5,4.4,6.3,0.133
27.1,10.5,0.467,4.8,0.1,0.3,2.8,4.6,3,0.5,0.8,2.9,12.7,0.47,16,10.2,1.9,3.9,0.094
26.1,8.8,0.527,4.1,0.6,1.5,3.1,3.9,1.6,0.8,0.3,2.2,13,0.559,12.8,13.5,11,5.1,0.193
27.8,11.2,0.513,5.7,0,0.1,4.3,6,3.5,1.3,1.2,2.4,15.8,0.513,19.7,10.1,5.2,7,0.229
29.7,8.8,0.493,2.7,1.7,3.9,2,2.6,0.9,1.5,0.4,2.7,12.4,0.587,5.6,25.3,11.5,8.5,0.191
27.4,10.4,0.567,5.7,0.2,0.7,3.1,4.5,2.9,1.4,0.6,2.9,15.1,0.575,21.7,11,6.1,4.6,0.251
31.8,9.7,0.59,5.7,0,0,2.4,4.3,3.4,0.9,4.3,2,13.8,0.59,17.5,4.6,8.2,14.1,0.272
30.2,10.6,0.492,3.8,1.4,4.1,2.7,4,2.1,1.9,0.9,1,14.6,0.56,14.5,12.5,7.8,4.8,0.233
19.3,5.4,0.46,1.7,0.8,2.1,1.7,2.2,1.1,0.6,1.1,0.8,7.5,0.535,11.1,9,7.2,4.5,0.191
25.4,7.5,0.473,1.9,1.6,4.3,1.4,1.9,0.7,1.2,0.2,1.5,10.1,0.582,7.6,18.7,8.8,6.3,0.186
30.2,8.4,0.58,4.8,0,0.1,2.9,3.8,2.7,0.5,1,1.8,12.6,0.58,16.1,6.7,12,7.2,0.201
32.9,12.2,0.428,4.1,1.1,3.5,4.5,5.8,1,1.7,0.3,2.3,16.1,0.475,7.3,26.6,11.5,6.4,0.196
24.4,10.1,0.453,2.9,1.7,4.6,1.4,1.8,1.1,0.9,0.7,1.4,12.3,0.536,10.6,9.4,4.7,2.7,0.176
33.2,11.8,0.433,3.4,1.7,4.7,3.6,5.4,0.6,1,0,2.3,15.5,0.505,6,13,2.4,1,0.124
30.5,9.4,0.439,3,1.1,3.1,3,4.1,0.8,1,0.8,1.8,12.4,0.497,8.4,16.2,8,6.3,0.14
27.7,10.9,0.436,2.6,2.2,5.7,3.7,4.1,0.7,1.1,0.1,1.8,15.4,0.536,6,11.9,7.8,2.1,0.176
35.1,12.8,0.449,2.7,3,6.9,3.2,3.8,1.842602041,1.5,0.1,2.6,17.7,0.567,11.93196481,15.44281525,12.1,3.9,0.138
26.7,7.1,0.449,2.9,0.2,0.7,2.9,4,1.4,1.9,0.2,1.9,9.5,0.465,8.3,25.9,2.1,4.4,0.171
32.6,12.7,0.446,4.2,1.5,4.1,3.2,4,1.842602041,1.6,0.1,3.3,15.9,0.504,11.93196481,15.44281525,7.2,3.4,0.105
22.8,5,0.502,2.3,0.2,0.6,1.4,2.4,1.842602041,0.6,0.4,1.3,6.6,0.521,11.93196481,15.44281525,0.9,2.1,0.048
34.3,12.2,0.495,5,1,3.1,5,6.8,0.8,2.5,0.2,3.6,18.1,0.537,5.7,26.1,6.4,2.4,0.164
23.4,5.5,0.571,3.1,0,0,1,2.2,2.8,0.7,2,1.1,7.2,0.571,18,5.4,1.6,1.9,0.185
29.4,11.1,0.435,3.8,1,3.1,3.5,4.2,0.6,1.5,0.1,2,14.1,0.48,6.4,26,10.5,6.4,0.165
33.1,9.2,0.47,2.6,1.7,4.6,4.1,4.9,1.7,1.3,0.9,2,14.4,0.562,14.1,12.9,7.9,6.3,0.249
16.6,6.2,0.52,3.2,0,0,1.5,2.6,1.8,0.5,1,1,7.9,0.52,15.1,11.1,1.9,3.6,0.19
30.1,10.9,0.43,2.3,2.3,5.8,3.3,3.8,1.842602041,1.3,0.1,3.1,14.9,0.537,11.93196481,15.44281525,2.8,1.6,0.052
27.6,8.6,0.507,4.3,0,0.1,3.4,5.2,2.8,0.7,1.9,1.5,12.1,0.508,13.2,7.4,6.7,15.7,0.251
21.7,7.4,0.503,2.9,0.8,2.1,1.4,2.1,1.8,0.8,0.5,1.1,9.6,0.558,11.93196481,15.44281525,3.7,5,0.229
19.7,8.1,0.445,2.2,1.4,3.3,1.2,1.7,0.7,0.7,0.3,1.4,9.8,0.53,11.93196481,15.44281525,1.6,1.9,0.18
29.8,9.6,0.495,4,0.7,2.2,2.5,3.2,2.5,1.2,1.9,2.2,12.7,0.534,11.93196481,15.44281525,9.1,12,0.238
28.8,10.1,0.475,3.1,1.7,4.6,1.9,2.7,1.5,1.6,0.5,1.9,13.2,0.56,11.93196481,15.44281525,7,7.9,0.198
25.6,8.8,0.459,2.7,1.4,3.5,1.8,2.6,1.842602041,1.1,0,2,11.3,0.538,5.8,26.1,2.4,0.9,0.051
27.2,7.1,0.524,3.7,0,0,2.2,3.2,2.5,1.2,0.8,1.8,9.6,0.524,12,6.6,6.2,10.5,0.177
18.1,8,0.388,1.3,1.8,5.1,2,2.5,1.3,0.8,0.3,0.9,10,0.5,9.7,10.5,4.3,2,0.195
28.7,10.3,0.534,5.5,0,0,2.8,4.6,3.7,0.8,0.1,2.1,13.8,0.534,18.1,6.4,7.5,8.7,0.172
31.1,11.9,0.476,4.6,1.1,3,2.6,3.7,2.2,1.3,1.1,2.2,15.1,0.522,12.6,11.8,2.4,3.2,0.195
24.6,8.2,0.439,1.7,1.9,4.9,0.9,1.2,1.6,0.9,0.2,0.9,9.9,0.555,10.8,12.1,6.8,4,0.176
28,9.9,0.465,3.4,1.2,3.5,2.3,3,1.4,0.8,0.5,2.1,12.7,0.527,9.2,26.8,7.9,2.9,0.156
21.7,6,0.504,3,0,0,3.3,4.5,1.8,0.5,1.4,1.6,9.3,0.504,13.7,6.1,7.1,5.9,0.176
32.3,11.4,0.456,3.1,2.1,5.3,2.9,3.9,1.842602041,2.3,0.2,2.6,15.4,0.548,11.93196481,15.44281525,5.7,4.4,0.181
29.6,10.8,0.406,3.2,1.2,3.7,2.6,3.5,1.842602041,1.6,0.1,3.8,12.5,0.459,11.93196481,15.44281525,4.7,8.2,0.128
30,11.4,0.461,4.3,1,2.8,2.9,3.8,1.1,0.9,0.3,2,14.3,0.503,8.4,15.7,7.8,6,0.149
32.6,11.2,0.45,4.5,0.6,1.7,3.8,5.8,2.4,1.2,1.3,2.9,14.4,0.475,11.93196481,15.44281525,3,6,0.156
33.6,13,0.425,3.8,1.7,5.1,3.2,3.9,1,1.4,0.3,3.3,16,0.49,7.6,32.7,9.5,7.9,0.153
26.8,9.9,0.498,4.5,0.4,1.4,2.6,4.1,1.842602041,1.8,0.3,2.9,12.9,0.518,11.93196481,15.44281525,2.7,2.3,0.063
33.9,15,0.412,4.2,1.9,5.9,2.4,3,1.842602041,1.1,0.9,3.1,16.6,0.476,11.93196481,15.44281525,0.7,0.2,0.065
35.2,12.4,0.577,7.1,0.1,0.2,4.2,6.8,5.5,1.3,2,2.4,18.6,0.579,19.3,5.6,10.9,13.7,0.304
28.5,10.8,0.497,5.3,0.1,0.2,2.1,3.2,1.842602041,0.6,0.9,2,12.9,0.499,11.93196481,15.44281525,3.5,4.7,0.117
26.1,9.4,0.54,4.4,0.7,1.8,3.3,4.6,1.2,1,0.4,2,14.2,0.575,7.4,13.2,10,7.4,0.245
21.9,4.8,0.407,1.3,0.6,1.9,1.3,2,0.5,0.9,0.5,1.5,5.8,0.472,7.6,17,2.5,3.8,0.114
31.1,8.2,0.491,3.7,0.3,1.3,3.6,4.8,2.6,1,0.9,2.2,11.9,0.511,14,10.8,3.4,2.6,0.192
20.2,3.5,0.575,2,0,0,1.7,2.9,1.6,0.2,0.9,1.4,5.7,0.577,12.9,3,4,4,0.139
27.3,9.5,0.503,4.4,0.4,1.2,3.1,4.1,2.4,0.8,0.3,1.9,13.1,0.524,11.6,11.5,9.7,6.7,0.176
25.3,9.7,0.458,3.8,0.7,2,2.7,3.9,1.2,1,0.7,1.9,12.3,0.493,9.5,14.5,4.3,6.7,0.17
34.4,14.4,0.424,3.6,2.5,6.3,3.2,3.9,0.9,1.3,0.8,2.9,17.9,0.509,8.7,20.3,7.9,5.5,0.159
32.8,10.6,0.502,4.8,0.5,1.5,3.8,5,1.5,1.6,0.7,3.5,15,0.527,14.1,31.4,9.3,6.8,0.194
27.5,9.5,0.529,3.4,1.6,3.5,5.8,6.5,0.5,1.5,0.5,2.5,17.5,0.615,6.7,29.8,1.8,0.6,0.32
27.7,8.3,0.509,3.8,0.4,1.4,2.2,2.9,2.4,0.5,1.1,1.5,11.1,0.535,17.7,10.1,6.5,5.5,0.199
25.9,8.7,0.631,5.5,0,0,3.9,5.3,2.7,1,0.7,1.6,14.9,0.631,11.93196481,15.44281525,11.4,7.6,0.29
23.5,5,0.639,3.1,0.1,0.2,1.5,2.2,2.4,0.6,1.7,1,7.9,0.648,14.4,4.3,9,8.8,0.226
34.2,9.5,0.54,4.8,0.3,0.8,4.6,5.8,2.6,0.8,1.8,1.8,15.1,0.555,16.1,5.5,6.2,3.9,0.198
33.9,10.1,0.393,2.9,1.1,3.2,2.4,3.3,1.842602041,2.5,0.1,3.2,11.4,0.445,11.93196481,15.44281525,3.1,8.5,0.118
31.2,11,0.473,3.8,1.3,3.7,1.6,2.1,1.6,1.3,0.3,2.7,13.3,0.534,8.7,15.7,4.2,3.2,0.138
26.5,7.2,0.523,3.2,0.5,1.1,3.2,4.5,2.4,0.9,1.4,2.1,11.3,0.56,19.4,4.9,1.6,2,0.182
32.3,12.7,0.44,3.8,1.7,4.6,2.4,3.3,1.1,1.2,0.4,2.1,15.3,0.508,8,20.2,9.9,9.4,0.171
21,10.4,0.449,4.3,0.4,1.5,1.9,2.9,1.842602041,1.3,0.5,2.1,11.7,0.467,11.93196481,15.44281525,0.9,3.8,0.131
26.1,13,0.491,5,1.3,4.4,3.4,4.9,1.842602041,1.5,0.6,3.4,17.5,0.543,11.93196481,15.44281525,4.6,1.6,0.096
27.1,11.8,0.508,5.4,0.6,1.7,1.8,2.7,2.6,0.4,1.8,1.5,14.4,0.533,11.93196481,15.44281525,2.3,2.9,0.211
33.3,11.6,0.425,3,1.9,5.5,2.6,3.6,0.6,0.7,0.3,1.7,14.3,0.507,7.9,13.1,8,4.3,0.138
29.2,9.6,0.586,5,0.7,1.3,5.9,8.2,2.5,0.8,0.7,2.3,17.8,0.621,16.1,7.7,9.2,3,0.242
23.4,10.4,0.477,4.4,0.6,1.7,3.2,4.4,1.842602041,1,0.6,2.2,13.6,0.504,11.93196481,15.44281525,4.8,2.6,0.144
28,12.7,0.48,6.1,0.1,0.4,3.7,4.9,2.3,0.5,1.9,2.1,16,0.482,14.6,9.7,2.9,5,0.213
27,8.4,0.456,1,2.8,6.1,1.9,2.1,1,0.5,0.1,1.1,12.4,0.622,9.1,8,13.1,3.2,0.191
24.3,6.9,0.511,3.5,0,0,1.9,3.1,2.6,0.3,2.3,1.6,9,0.512,13.3,6.6,2.2,6,0.201
32.1,14.1,0.432,3.5,2.6,6.8,2.9,3.6,0.7,1.3,0.7,2.2,17.8,0.526,5.7,21.5,8.7,4.6,0.175
29.1,12.7,0.392,2.7,2.3,6.2,3,4.1,0.6,1.2,0.4,3.4,15.2,0.482,11.93196481,15.44281525,4.5,2.8,0.107
26.3,8.8,0.608,5.4,0,0,4.3,6,2.7,0.5,2.2,3.1,15.1,0.608,21.2,8.1,9.2,3.1,0.226
20.5,3.5,0.577,2,0,0,1.5,2.4,1.6,0.6,2.8,1.2,5.5,0.577,12.2,6.9,2.2,5.4,0.216
34.8,11.5,0.551,6.3,0,0,3.4,5.3,1.842602041,1,2,2,16,0.551,11.93196481,15.44281525,2.7,3.7,0.116
27.6,11.9,0.415,2.8,2.2,6,2.2,3.1,1.5,1,1,1.4,14.3,0.506,11.6,8.9,6.8,9.6,0.179
34.5,14.2,0.415,4.6,1.3,4.4,3.9,5.9,1.842602041,1.2,0.6,3.3,16.9,0.461,11.93196481,15.44281525,2.8,4.5,0.052
33.1,13.5,0.45,4.8,1.2,3.6,5.1,6.4,0.9,1.5,0.2,2.2,18.5,0.497,8.8,33.9,19.1,4.7,0.226
36,13.1,0.465,4.4,1.7,4.7,4.1,5.4,1.842602041,1.4,0.2,2.7,17.9,0.53,11.93196481,15.44281525,10,4.6,0.111
23.1,6.1,0.626,3.8,0,0.2,3.5,5.1,2.3,0.9,2.6,2.4,11.2,0.629,20.5,11.5,1.8,1.7,0.213
35.1,10.7,0.577,6,0.1,0.4,4.1,5.9,1.842602041,0.5,3.8,2.6,16.5,0.584,11.93196481,15.44281525,9.8,8.4,0.162
35.1,11.9,0.571,6.3,0.5,1.2,7.4,9.4,3.4,0.4,1.7,3.4,21.4,0.59,14.6,9.3,15,5.5,0.257
28.9,10.1,0.451,2.1,2.5,5.9,2.8,3.3,1.842602041,0.9,0.2,1.5,14.5,0.575,4.8,11,11.5,5.1,0.16
24.8,6.8,0.587,4,0,0,3,5,1.842602041,0.4,0.6,1.3,10.9,0.587,11.93196481,15.44281525,7.6,8.5,0.248
24.9,6.5,0.448,1.8,1.2,3,1.2,1.5,1,0.8,0.7,1.4,8.2,0.537,7.3,13.2,8.1,5.9,0.147
20.2,7.6,0.455,1.7,1.7,4.3,2.2,2.6,1.842602041,0.7,0,1.8,10.8,0.57,11.93196481,15.44281525,9.9,3.5,0.14
27.5,10.1,0.512,4.7,0.5,1.5,3.5,4.5,1.8,1,0.5,2.1,14.3,0.537,10.5,20.1,7.8,5.5,0.188
32.9,15.7,0.439,5,2,5.2,5.5,6.7,1.5,2.1,0.5,2.4,21.3,0.501,11,20.1,13.9,6.6,0.224
34.2,12.9,0.442,3.8,1.8,4.9,3.6,4.4,0.8,1.8,0.3,2.6,16.8,0.513,5.8,19.3,10.6,4.7,0.137
23.6,8.4,0.463,3.1,0.8,2.3,2.3,3.3,1.6,0.9,0.4,1.5,10.8,0.511,12.6,15.4,6.4,5.4,0.155
12.8,6.4,0.553,3.6,0,0,1.5,2.6,1.842602041,0.8,1.4,1.4,8.7,0.553,11.93196481,15.44281525,3.9,7.9,0.299
24.4,9.3,0.553,5.1,0,0,3.1,5.2,2.5,0.9,1.6,1.6,13.5,0.554,14.6,5,9,10.9,0.236
24.7,6.1,0.409,1.5,0.9,3,1.1,1.6,0.9,2,0.3,2.1,7,0.486,10.1,21.5,2.3,5.9,0.128
26.9,11.6,0.565,6.6,0,0,5.7,7.7,1.842602041,0.9,0.4,2.6,18.8,0.565,18.8,10.7,10.3,5.9,0.239
21.1,8.3,0.479,3.4,0.6,1.5,2.1,3,1.842602041,0.9,0.7,1.3,10.7,0.515,11.93196481,15.44281525,5.2,5.9,0.099
35.8,14.9,0.418,3.7,2.6,7.5,2.7,3.8,1.7,1.3,1.6,2.6,17.7,0.505,10.8,10.6,1.9,2,0.124
31.4,10.2,0.416,1.9,2.4,5.7,3.2,3.8,0.5,1.3,0.1,1.9,14.1,0.532,6.1,38.6,10.6,5.4,0.17
30.9,11.5,0.618,7.1,0,0.1,4.5,7.7,3.6,1.1,1,2.8,18.8,0.62,21.8,16.4,8.9,6.3,0.29
31.8,15.5,0.462,4.9,2.2,6.4,6.8,8,0.9,1.7,0.4,2.9,23.3,0.533,7.9,10.2,11.2,2.6,0.218
20.2,7.7,0.507,3.9,0,0,2.3,3.8,1.842602041,0.7,0.8,1.6,10.1,0.507,11.93196481,15.44281525,1.3,2.7,0.216
31,9,0.493,3,1.5,4.1,2.8,3.6,1.6,1.7,1,2.5,13.2,0.574,10.4,15.6,5.6,3.3,0.172
28,8.1,0.461,2.8,1,2.7,3.5,4.6,1.842602041,2,0.3,1.9,12,0.521,11.93196481,15.44281525,9.4,7.6,0.184
25.9,7.8,0.608,4.7,0,0,2.8,4.3,2.8,1,3.1,1.8,12.3,0.61,19.7,10.4,2.9,4.3,0.351
28.3,8.6,0.507,4.4,0,0.1,2.5,3.6,1.842602041,0.6,3.8,2.1,11.3,0.508,11.93196481,15.44281525,5.8,7.8,0.174
30.2,8.9,0.586,5.2,0,0,3,4.7,3.4,1.3,1.8,1.6,13.5,0.586,15.3,4.3,4.7,6.5,0.28
31.5,14.3,0.55,6,1.9,4.1,4.1,4.9,1.9,0.2,0.1,2.2,21.7,0.616,14.8,10.4,21.6,5.2,0.235
33.9,9.7,0.423,2.4,1.7,4.6,2.6,3.5,0.7,1.9,0.3,3.6,12.5,0.512,6.7,35.1,5.6,5.7,0.132
29.8,10.7,0.452,4,0.8,2.4,3.3,4.4,1.5,1,0.6,2.1,13.8,0.491,10,6,7,7,0.143
32.9,14.4,0.529,6.9,0.7,2.3,2.8,3.8,1.842602041,2.5,1.9,1.4,18.7,0.553,11.93196481,15.44281525,3,3,0.253
24.6,7.3,0.538,3.4,0.5,1.4,2.5,3.5,2,1.5,0.5,2,10.7,0.57,13.1,13.9,7.8,4.9,0.198
34.7,12.2,0.446,3.3,2.1,5.6,2.7,3.3,0.9,0.9,0.6,1.9,15.7,0.533,10,13.6,8.6,4.9,0.159
24.1,11.2,0.458,4,1.2,3.2,2.3,3.2,1.842602041,0.8,0.2,1.9,13.8,0.51,11.93196481,15.44281525,5.7,4.1,0.126
28.5,12.5,0.512,4.4,1.9,4.5,2.9,3.5,1.842602041,0.8,0.8,2.2,17.6,0.59,11.93196481,15.44281525,14.5,8.2,0.278
29.6,7.2,0.508,3.3,0.3,0.9,4.3,5.6,2.3,1.1,0.5,1,12,0.531,11.1,11.2,11.2,4.7,0.203
32.6,16,0.429,5.5,1.4,4.3,2.7,3.6,3.1,0.9,4.4,2.2,17.8,0.472,11.93196481,15.44281525,1,3.6,0.189
32.3,12.6,0.446,3.3,2.4,6.1,5,5.8,0.4,1.2,0.2,2.4,18.6,0.54,8.1,24.3,14.2,3.4,0.209
24.8,7.1,0.421,1.4,1.6,4.2,1.6,1.9,0.4,0.5,0.3,1.5,9.2,0.533,5.9,18.1,5.1,3.8,0.138
20.3,5.7,0.638,3.6,0,0,1.6,2.8,1.7,0.5,1.1,1.5,8.8,0.638,14.6,3.3,2.3,1,0.198
23.5,7.9,0.52,4.1,0,0.2,2.1,3.6,2.5,0.6,2.7,1.5,10.3,0.523,18.6,5.5,4.7,10,0.246
22.5,6.9,0.488,3.4,0,0,3,4.6,1.842602041,0.6,1.1,1.1,9.9,0.488,11.93196481,15.44281525,4.4,7.3,0.169
30.4,12.4,0.426,3.7,1.6,4.8,4.3,6,0.7,1.2,0.1,2.7,16.4,0.489,6.5,26.2,8.5,4.7,0.165
33.3,10.7,0.529,4.7,0.9,2.3,4.8,6.1,1.9,1.6,0.3,2.5,17,0.574,11,22.3,12,5.1,0.217
25,8,0.467,3.1,0.6,1.7,2.3,3.4,2,1.2,0.8,1.9,10.5,0.506,18,24.6,9.6,9.6,0.212
31,12.7,0.44,3.2,2.3,5.5,3.5,4.4,0.8,1.2,0.2,2.8,16.9,0.531,6.6,24.7,9.6,6.1,0.191
32.6,11,0.504,5.2,0.4,1.5,2.8,4.3,1.842602041,1.5,0.3,1.5,14.4,0.523,11.93196481,15.44281525,7,5.5,0.1
24.3,8.6,0.45,3,0.9,2.8,2.4,3.2,1.8,0.9,1.9,1.5,11,0.501,12,9.6,5.6,5.1,0.186
15.1,3.1,0.563,1.7,0,0,1.2,2.1,1.3,0.3,1.5,1.2,4.7,0.565,13.2,5.7,3.1,6.9,0.203
28.4,8.6,0.538,4.6,0,0.1,0.8,2.6,3.4,0.8,2.7,1.5,10,0.538,15.6,3.4,1.4,1.5,0.121
34.8,11.8,0.461,4.5,1,3.1,4.7,6.3,0.8,1.8,0.5,4,16.6,0.503,6.6,34.8,3.7,2.6,0.196
31.7,11.6,0.44,4.1,1,3.2,4.2,5.2,0.8,0.9,0.3,2.7,15.4,0.484,6.4,20.5,6.9,3.2,0.136
26.1,9.4,0.524,4.8,0.1,0.1,3.2,5.5,2.7,0.6,5.4,1.9,13.1,0.528,18.3,2.2,2,2.5,0.2
23.3,10.6,0.515,4.9,0.6,2.1,3.3,5.4,1.842602041,1.1,0.4,2.2,14.8,0.542,11.93196481,15.44281525,3.7,3.5,0.237
31.3,6.8,0.401,1.4,1.3,3.5,1.5,2,0.7,1.7,0.3,3.3,8.3,0.499,6,36.5,5,8.4,0.124
28.4,8.8,0.587,5.2,0,0,2.9,5.1,1.842602041,0.6,2.7,2.6,13.2,0.587,11.93196481,15.44281525,2.7,2.9,0.084
33.7,10.9,0.405,3,1.4,4.8,2.8,3.4,1,1.5,0.1,3,13.1,0.47,6.2,24.4,3,4.2,0.133
21.4,5.5,0.537,3,0,0,1.2,2.2,1.7,0.4,2.8,2,7.1,0.537,11.93196481,15.44281525,1.6,4.3,0.189
34.5,13.8,0.465,5.7,0.7,1.9,4.5,5.9,3.3,2.1,0.3,2.7,18,0.491,11.93196481,15.44281525,4.6,4.7,0.172
22.1,5.9,0.612,3.4,0.2,0.4,3.4,4.8,2.7,0.5,1.2,1.5,10.8,0.626,11.93196481,15.44281525,6.4,6.2,0.316
31.8,10.8,0.44,4.2,0.5,1.9,4.1,6.4,1.5,1.1,0.5,3.1,14.1,0.464,8.5,16.8,1.6,1.5,0.117
